Customer Name,Inv No,Date,Qty,Amount,Type of Sale,Supply Plant,F Y,Month,Due Date,RSPL P Date,Cust Pymt. Date,Amt.,Cust Pymt. Date,Amt.,Cust Pymt. Date,Amt.,Balance,Date of Settlement,EPI Per MT,RSPL EPI Days,RSPL EPI Amt,Cust EPI Amt,Cust. Int. Amt,Pymt Track,Executive,Over Due,Service Charges Amount,Service Charges,Income on Inv,Sale State,Sale Type,Sector,Sale Location,GRADES,IINDUST_TYPE,SALE_DIST,MONTHS,,,,,
Sri Padmavathi Polypack Industries,AP5538084511,23-11-2019,0.5,50482,2,AP,2019-20,November,8-Dec-19,,,,,,,,0,2019-12-08,1100,,,,,0,Manoj,,550,275,275,AP,CREDIT,PP,DOPW,1100FS,Packing,Krishna,`08 Nov,,,,,
Venkatarama Polypack Industries,AP5538085410,26-11-2019,1,99666,1,AP,2019-20,November,28-Nov-19,,,,,,,,0,2019-11-28,0,,6600,3662,0,0,Manoj,,550,550,3488,AP,CASH,PP,DOPW,1100FS,Packing,Krishna,`08 Nov,,,,,
Sri Padmavathi Polypack Industries,AP5538085668,27-11-2019,2.25,204885,2,AP,2019-20,November,12-Dec-19,,,,,,,,0,2019-12-12,1100,,,,,0,Manoj,,550,1237.5,1238,AP,CREDIT,PP,DOPW,1100FS,Packing,Krishna,`08 Nov,,,,,
Mokshadha Polymers,AP5538085770,27-11-2019,1,96598,1,AP,2019-20,November,29-Nov-19,,,,,,,,0,2019-11-29,0,,,,,0,Manoj,,550,550,550,AP,CASH,PP,DOPW,1110MG,Packing,Guntur,`08 Nov,,,,,
Sai Krupa Plastic Industies,AP5538085837,27-11-2019,1.1,106729,1,AP,2019-20,November,29-Nov-19,,,,,,,,0,2019-11-29,0,,6820,773,853,0,Manoj,,550,605,7505,AP,CASH,PP,DOPW,1030RG,Household,Prakasam,`08 Nov,,,,,
Steri Plasto Industries Pvt Ltd,AP5538085868,27-11-2019,1.025,98690,1,AP,2019-20,November,29-Nov-19,,,,,,,,0,2019-11-29,0,,,,,0,Sunil,,550,563.75,564,AP,CASH,PP,DOPW,1110MG,Household,Guntur,`08 Nov,,,,,
Fortune Home Care Industries,AP5538086041,28-11-2019,1.05,87433,1,AP,2019-20,November,30-Nov-19,,,,,,,,0,2019-11-30,0,,,,,0,Manoj,,550,577.5,578,AP,CASH,HDPE,DOPW,012DB54,Household,Guntur,`08 Nov,,,,,
Gudivada Poly Craft,AP5538086058,28-11-2019,2,215451,1,AP,2019-20,November,30-Nov-19,,,,,,,,0,2019-11-30,0,,,,,0,Sunil,,550,1100,1100,AP,CASH,PP,DOPW,2020EC,Trading,Guntur,`08 Nov,,,,,
Global Polymers,TN5542283379,28-11-2019,13,1081761,2,TN,2019-20,November,13-Dec-19,,,,,,,,0,2019-12-13,1100,,,,,0,Shiva,,350,4550,4550,AP,CREDIT,HDPE,DCA,010L22S,Irrigation,Kadapa,`08 Nov,,,,,
Global Polymers,TN5542283393,28-11-2019,3,262452,2,TN,2019-20,November,13-Dec-19,,,,,,,,0,2019-12-13,1100,,,,,0,Shiva,,350,1050,1050,AP,CREDIT,HDPE,DCA,010L22S,Irrigation,Kadapa,`08 Nov,,,,,
Sri Padmavathi Polypack Industries,AP5538086559,29-11-2019,3,285064,2,AP,2019-20,November,14-Dec-19,,,,,,,,0,2019-12-14,1100,,,,,0,Manoj,,550,1650,1650,AP,CREDIT,PP,DOPW,1100FS,Packing,Krishna,`08 Nov,,,,,
Yameen Plastics Industries,AP5538086632,29-11-2019,0.25,20916,1,AP,2019-20,November,1-Dec-19,,,,,,,,0,2019-12-01,0,,,,,0,Shiva,,550,137.5,138,AP,CASH,HDPE,DOPW,080M60,Agriculture,Kadapa,`08 Nov,,,,,
Gsr Industries,AP5538086840,30-11-2019,2.9,237332,1,AP,2019-20,November,2-Dec-19,,,,,,,,0,2019-12-02,0,,,,,0,Sunil,,550,1595,1595,AP,CASH,LLDPE,DOPW,010F18S,Packing,Prakasam,`08 Nov,,,,,
Gsr Industries,AP5538086859,30-11-2019,11.75,961605,1,AP,2019-20,November,2-Dec-19,,,,,,,,0,2019-12-02,0,,,,,0,Sunil,,550,6462.5,6463,AP,CASH,LLDPE,DOPW,010F18A,Packing,Prakasam,`08 Nov,,,,,
Tatwa Plast Products,AP5538086914,30-11-2019,6,515827,1,AP,2019-20,November,2-Dec-19,,,,,,,,0,2019-12-02,0,,,,,0,Shiva,,550,3300,3300,AP,CASH,HDPE,DOPW,003DB52,Aqua,W Godavari,`08 Nov,,,,,
Tatwa Plast Products,AP5538086918,30-11-2019,2.875,247167,1,AP,2019-20,November,2-Dec-19,,,,,,,,0,2019-12-02,0,,,,,0,Shiva,,550,1581.25,1581,AP,CASH,HDPE,DOPW,003DB52,Aqua,W Godavari,`08 Nov,,,,,
Royal Polymers,TG5545080539,30-11-2019,1,100584,1,TG,2019-20,November,2-Dec-19,,,,,,,,0,2019-12-02,0,,14418,1572,5162,0,Manoj,,350,350,18358,AP,CASH,PP,DCA,1100FS,Packing,Kurnool,`08 Nov,,,,,
Royal Polymers,TG5545080540,30-11-2019,1,101882,2,TG,2019-20,November,15-Dec-19,,,,,,,,0,2019-12-15,1100,,,,,0,Manoj,,350,350,350,AP,CREDIT,PP,DCA,1100FS,Packing,Kurnool,`08 Nov,,,,,
Kapilavai Polymers,AP5538090197,04-12-2019,1,94235,1,AP,2019-20,December,6-Dec-19,,,,,,,,0,2019-12-06,0,,,,,0,Manoj,,550,550,550,AP,CASH,PP,DOPW,1110MG,Furniture,Guntur,`09 Dec,,,,,
Kapilavai Polymers,AP5538090836,05-12-2019,3,283833,1,AP,2019-20,December,7-Dec-19,,,,,,,,0,2019-12-07,0,,,,,0,Manoj,,550,1650,1650,AP,CASH,PP,DOPW,1110MG,Furniture,Guntur,`09 Dec,,,,,
Sri Maruthi Plastics,AP5538091481,07-12-2019,1,93466,1,AP,2019-20,December,9-Dec-19,,,,,,,,0,2019-12-09,0,,,,,0,Manoj,,550,550,550,AP,CASH,LLDPE,DOPW,500M24A,Trading,Guntur,`09 Dec,,,,,
Kankariya Polyfab,AP5538091995,09-12-2019,1,100961,1,AP,2019-20,December,11-Dec-19,,,,,,,,0,2019-12-11,0,,,,,0,Manoj,,550,550,550,AP,CASH,PP,DOPW,1100FS,Trading,Guntur,`09 Dec,,,,,
Eswar Enamel Industries,AP5538092203,10-12-2019,1,93466,1,AP,2019-20,December,12-Dec-19,,,,,,,,0,2019-12-12,0,,,,,0,Sunil,,550,550,550,AP,CASH,LLDPE,DOPW,500M24A,Household,Prakasam,`09 Dec,,,,,
Venkata Ramana Polymers,AP5538093136,12-12-2019,0.5,47118,1,AP,2019-20,December,14-Dec-19,,,,,,,,0,2019-12-14,0,,,,,0,Manoj,,550,275,275,AP,CASH,PP,DOPW,1100FS,Packing,Guntur,`09 Dec,,,,,
Royal Polymers,TG5545086245,14-12-2019,2,199045,2,TG,2019-20,December,29-Dec-19,,,,,,,,0,2019-12-29,1100,,,,,0,Manoj,,350,700,700,AP,CREDIT,PP,DCA,1100FS,Packing,Kurnool,`09 Dec,,,,,
Sri Padmavathi Polypack Industries,TG5545086700,16-12-2019,2,169408,2,TG,2019-20,December,31-Dec-19,,,,,,,,0,2019-12-31,1100,,,,,0,Manoj,,350,700,700,AP,CREDIT,PP,DCA,1100FS,Packing,Krishna,`09 Dec,,,,,
Sri Padmavathi Polypack Industries,TG5548086701,16-12-2019,1,99522,2,TG,2019-20,December,31-Dec-19,,,,,,,,0,2019-12-31,1100,,,,,0,Manoj,,350,350,350,AP,CREDIT,PP,DCA,1100FS,Packing,Krishna,`09 Dec,,,,,
Sree Babaji Polymers,AP5538094698,17-12-2019,1.075,104284,1,AP,2019-20,December,19-Dec-19,,,,,,,,0,2019-12-19,0,,,,,0,Shiva,,550,591.25,591,AP,CASH,PP,DOPW,1100FS,Packing,Krishna,`09 Dec,,,,,
Sree Babaji Polymers,AP5538094714,17-12-2019,0.925,89733,1,AP,2019-20,December,19-Dec-19,,,,,,,,0,2019-12-19,0,,,,,0,Shiva,,550,508.75,509,AP,CASH,PP,DOPW,1100FS,Packing,Krishna,`09 Dec,,,,,
Sai Krupa Plastic Industies,AP5538094762,17-12-2019,1.2,112831,1,AP,2019-20,December,19-Dec-19,,,,,,,,0,2019-12-19,0,,,,,0,Manoj,,550,660,660,AP,CASH,PP,DOPW,1030RG,Household,Prakasam,`09 Dec,,,,,
Global Polymers,TN5542311793,17-12-2019,8,699872,2,TN,2019-20,December,1-Jan-20,,,,,,,,0,2020-01-01,1100,,,,,0,Shiva,,350,2800,2800,AP,CREDIT,HDPE,DCA,010L22S,Irrigation,Kadapa,`09 Dec,,,,,
Global Polymers,TN5542311803,17-12-2019,7,612388,2,TN,2019-20,December,1-Jan-20,,,,,,,,0,2020-01-01,1100,,,,,0,Shiva,,350,2450,2450,AP,CREDIT,HDPE,DCA,010L22S,Irrigation,Kadapa,`09 Dec,,,,,
Global Polymers,TN5542311816,17-12-2019,5,431107,2,TN,2019-20,December,1-Jan-20,,,,,,,,0,2020-01-01,1100,,,,,0,Shiva,,350,1750,1750,AP,CREDIT,HDPE,DCA,010L22S,Irrigation,Kadapa,`09 Dec,,,,,
Sri Padmavathi Polypack Industries,AP5538095313,19-12-2019,1,97008,1,AP,2019-20,December,21-Dec-19,,,,,,,,0,2019-12-21,0,,,,,0,Manoj,,550,550,550,AP,CASH,PP,DOPW,1100FS,Packing,Krishna,`09 Dec,,,,,
Sanjayram Slate Works,AP5538095320,19-12-2019,1,93466,1,AP,2019-20,December,21-Dec-19,,,,,,,,0,2019-12-21,0,,,,,0,Sunil,,550,550,550,AP,CASH,LLDPE,DOPW,500M24A,Household,Prakasam,`09 Dec,,,,,
Tarunasri Plastic Industries,AP5538095692,20-12-2019,1,83247,1,AP,2019-20,December,22-Dec-19,,,,,,,,0,2019-12-22,0,,,,,0,Sunil,,550,550,550,AP,CASH,HDPE,DOPW,012DB54,Household,Guntur,`09 Dec,,,,,
Veeranjaneya Enamel Industries,AP5538095704,20-12-2019,3,280398,1,AP,2019-20,December,22-Dec-19,,,,,,,,0,2019-12-22,0,,,,,0,Sunil,,550,1650,1650,AP,CASH,LLDPE,DOPW,500M24A,Household,Prakasam,`09 Dec,,,,,
Sree Sreenidhi Polymers,AP5538095729,20-12-2019,1,97008,1,AP,2019-20,December,22-Dec-19,,,,,,,,0,2019-12-22,0,,8329,707,193,0,Manoj,,550,550,8365,AP,CASH,PP,DOPW,1100FS,Packing,Guntur,`09 Dec,,,,,
Kapilavai Polymers,AP5538095897,20-12-2019,3,282706,1,AP,2019-20,December,22-Dec-19,,,,,,,,0,2019-12-22,0,,,,,0,Manoj,,550,1650,1650,AP,CASH,PP,DOPW,1110MG,Furniture,Guntur,`09 Dec,,,,,
Kapilavai Polymers,AP5538095906,20-12-2019,1.5,143607,1,AP,2019-20,December,22-Dec-19,,,,,,,,0,2019-12-22,0,,,,,0,Manoj,,550,825,825,AP,CASH,PP,DOPW,1110MG,Furniture,Guntur,`09 Dec,,,,,
Fortune Home Care Industries,AP5538096112,21-12-2019,1,86230,2,AP,2019-20,December,5-Jan-20,,,,,,,,0,2020-01-05,1100,,,,,0,Manoj,,550,550,550,AP,CREDIT,HDPE,DOPW,012DB54,Household,Guntur,`09 Dec,,,,,
Sri Maruthi Plastics,AP5538096147,21-12-2019,1,93466,1,AP,2019-20,December,23-Dec-19,,,,,,,,0,2019-12-23,0,,,,,0,Manoj,,550,550,550,AP,CASH,LLDPE,DOPW,500M24A,Trading,Guntur,`09 Dec,,,,,
Sri Padmavathi Polypack Industries,AP5538096977,24-12-2019,2,196613,2,AP,2019-20,December,8-Jan-20,,,,,,,,0,2020-01-08,1100,,,,,0,Manoj,,550,1100,1100,AP,CREDIT,PP,DOPW,1100FS,Packing,Krishna,`09 Dec,,,,,
Sree Sreenidhi Polymers,AP5538097476,26-12-2019,1,97008,1,AP,2019-20,December,28-Dec-19,,,,,,,,0,2019-12-28,0,,,,,0,Manoj,,550,550,550,AP,CASH,PP,DOPW,1100FS,Packing,Guntur,`09 Dec,,,,,
Arjun Irrigation,KA5539172826,26-12-2019,1.5,123543,1,KA,2019-20,December,28-Dec-19,,,,,,,,0,2019-12-28,0,,,,,0,Shiva,,350,525,525,AP,CASH,LLDPE,DCA,1030RG,Irrigation,Chittoor,`09 Dec,,,,,
Arjun Irrigation,KA5539172833,26-12-2019,1.5,123543,1,KA,2019-20,December,28-Dec-19,,,,,,,,0,2019-12-28,0,,,,,0,Shiva,,350,525,525,AP,CASH,LLDPE,DCA,1030RG,Irrigation,Chittoor,`09 Dec,,,,,
Penna Polymer Products P Ltd,AP5538097962,27-12-2019,1,92225,1,AP,2019-20,December,29-Dec-19,,,,,,,,0,2019-12-29,0,,,,,0,Sunil,,550,550,550,AP,CASH,LLDPE,DOPW,042R35A,Household,Guntur,`09 Dec,,,,,
Kaveri Polymers,AP5538098436,28-12-2019,2,187045,2,AP,2019-20,December,12-Jan-20,,,,,,,,0,2020-01-12,1100,,5186,471,4079,0,Sunil,,550,1100,9894,AP,CREDIT,LLDPE,DOPW,042R35A,Household,Visakhapatnam,`09 Dec,,,,,
Sree Sreenidhi Polymers,AP5538098904,30-12-2019,1,97008,1,AP,2019-20,December,1-Jan-20,,,,,,,,0,2020-01-01,0,,,,,0,Manoj,,550,550,550,AP,CASH,PP,DOPW,1100FS,Packing,Guntur,`09 Dec,,,,,
Kapilavai Polymers,AP5538099039,30-12-2019,2.5,236715,1,AP,2019-20,December,1-Jan-20,,,,,,,,0,2020-01-01,0,,,,,0,Manoj,,550,1375,1375,AP,CASH,PP,DOPW,1110MG,Furniture,Guntur,`09 Dec,,,,,
Gsr Industries,AP5538099558,31-12-2019,13,1063867,1,AP,2019-20,December,2-Jan-20,,,,,,,,0,2020-01-02,0,,,,,0,Sunil,,550,7150,7150,AP,CASH,LLDPE,DOPW,010F18S,Packing,Prakasam,`09 Dec,,,,,
Royal Polymers,TG5545091790,02-01-2020,2,199092,2,TG,2019-20,January,17-Jan-20,,,,,,,,0,2020-01-17,1100,,,,,0,Manoj,,350,700,700,AP,CREDIT,PP,DCA,1100FS,Packing,Kurnool,`10 Jan,,,,,
Sai Krupa Plastic Industies,AP5538100172,02-01-2020,0.5,48104,1,AP,2019-20,January,4-Jan-20,,,,,,,,0,2020-01-04,0,,,,,0,Manoj,,550,275,275,AP,CASH,PP,DOPW,1030RG,Household,Prakasam,`10 Jan,,,,,
Sai Krupa Plastic Industies,AP5538100902,02-01-2020,0.5,48753,2,AP,2019-20,January,17-Jan-20,,,,,,,,0,2020-01-17,1100,,,,,0,Manoj,,550,275,275,AP,CREDIT,PP,DOPW,1030RG,Household,Prakasam,`10 Jan,,,,,
Sai Krupa Plastic Industies,AP5538100902,02-01-2020,0.3,25302,2,AP,2019-20,January,17-Jan-20,,,,,,,,0,2020-01-17,1100,,,,,0,Manoj,,550,165,165,AP,CREDIT,PP,DOPW,1030RG,Household,Prakasam,`10 Jan,,,,,
Sai Krupa Plastic Industies,AP5538101446,02-01-2020,0.025,2076,1,AP,2019-20,January,4-Jan-20,,,,,,,,0,2020-01-04,0,,,,,0,Manoj,,550,13.75,14,AP,CASH,PP,DOPW,1030RG,Household,Prakasam,`10 Jan,,,,,
Sri Padmavathi Polypack Industries,AP5538104178,03-01-2020,2,196665,2,AP,2019-20,January,18-Jan-20,,,,,,,,0,2020-01-18,1100,,,,,0,Manoj,,550,1100,1100,AP,CREDIT,PP,DOPW,1100FS,Packing,Krishna,`10 Jan,,,,,
Venkatarama Polypack Industries,AP5538104303,03-01-2020,1,98333,2,AP,2019-20,January,18-Jan-20,,,,,,,,0,2020-01-18,1100,,,,,0,Manoj,,550,550,550,AP,CREDIT,PP,DOPW,1100FS,Packing,Krishna,`10 Jan,,,,,
Venkatarama Polypack Industries,AP5538104310,03-01-2020,2,194069,1,AP,2019-20,January,5-Jan-20,,,,,,,,0,2020-01-05,0,,,,,0,Manoj,,550,1100,1100,AP,CASH,PP,DOPW,1100FS,Packing,Krishna,`10 Jan,,,,,
Penna Polymer Products P Ltd,AP5538104601,04-01-2020,1,93431,1,AP,2019-20,January,6-Jan-20,,,,,,,,0,2020-01-06,0,,,,,0,Sunil,,550,550,550,AP,CASH,LLDPE,DOPW,042R35A,Household,Guntur,`10 Jan,,,,,
Global Polymers,TG5545095066,04-01-2020,10,859075,2,TG,2019-20,January,19-Jan-20,,,,,,,,0,2020-01-19,1100,,,,,0,Shiva,,350,3500,3500,AP,CREDIT,HDPE,DCA,010L22S,Irrigation,Kadapa,`10 Jan,,,,,
Global Polymers,TG5545095068,04-01-2020,10,859075,2,TG,2019-20,January,19-Jan-20,,,,,,,,0,2020-01-19,1100,,,,,0,Shiva,,350,3500,3500,AP,CREDIT,HDPE,DCA,010DP45,Irrigation,Kadapa,`10 Jan,,,,,
Global Polymers,TG5545095071,04-01-2020,5,429538,2,TG,2019-20,January,19-Jan-20,,,,,,,,0,2020-01-19,1100,,,,,0,Shiva,,350,1750,1750,AP,CREDIT,HDPE,DCA,010DP45,Irrigation,Kadapa,`10 Jan,,,,,
Sri Padmavathi Polypack Industries,TG5545095122,04-01-2020,2,171815,2,TG,2019-20,January,19-Jan-20,,,,,,,,0,2020-01-19,1100,,,,,0,Manoj,,350,700,700,AP,CREDIT,PP,DCA,1100FS,Packing,Krishna,`10 Jan,,,,,
Tarunasri Plastic Industries,AP5538105476,07-01-2020,1,84555,1,AP,2019-20,January,9-Jan-20,,,,,,,,0,2020-01-09,0,,,,,0,Sunil,,550,550,550,AP,CASH,HDPE,DOPW,012DB54,Household,Guntur,`10 Jan,,,,,
Sree Sreenidhi Polymers,AP5538105491,07-01-2020,2,194069,1,AP,2019-20,January,9-Jan-20,,,,,,,,0,2020-01-09,0,,,,,0,Manoj,,550,1100,1100,AP,CASH,PP,DOPW,1100FS,Packing,Guntur,`10 Jan,,,,,
Kaveri Polymers,AP5538105655,08-01-2020,1,94729,2,AP,2019-20,January,23-Jan-20,,,,,,,,0,2020-01-23,1100,,,,,0,Sunil,,550,550,550,AP,CREDIT,LLDPE,DOPW,042R35A,Household,Visakhapatnam,`10 Jan,,,,,
Yameen Plastics Industries,AP5538105933,09-01-2020,4,339466,1,AP,2019-20,January,11-Jan-20,,,,,,,,0,2020-01-11,0,,,,,0,Shiva,,550,2200,2200,AP,CASH,HDPE,DOPW,080M60,Agriculture,Kadapa,`10 Jan,,,,,
Yameen Plastics Industries,AP5538105945,09-01-2020,2.675,227018,1,AP,2019-20,January,11-Jan-20,,,,,,,,0,2020-01-11,0,,,,,0,Shiva,,550,1471.25,1471,AP,CASH,HDPE,DOPW,080M60,Agriculture,Kadapa,`10 Jan,,,,,
Sai Krupa Plastic Industies,AP5538105955,09-01-2020,1,97389,1,AP,2019-20,January,11-Jan-20,,,,,,,,0,2020-01-11,0,,,,,0,Manoj,,550,550,550,AP,CASH,PP,DOPW,1030RG,Household,Prakasam,`10 Jan,,,,,
Sai Krupa Plastic Industies,AP5538105958,09-01-2020,1,98687,2,AP,2019-20,January,24-Jan-20,,,,,,,,0,2020-01-24,1100,,,,,0,Manoj,,550,550,550,AP,CREDIT,PP,DOPW,1030RG,Household,Prakasam,`10 Jan,,,,,
Kapilavai Polymers,AP5538108353,17-01-2020,3,287452,1,AP,2019-20,January,19-Jan-20,,,,,,,,0,2020-01-19,0,,,,,0,Manoj,,550,1650,1650,AP,CASH,PP,DOPW,1110MG,Furniture,Guntur,`10 Jan,,,,,
Royal Polymers,TG5545098816,18-01-2020,2.5,251815,2,TG,2019-20,January,2-Feb-20,,,,,,,,0,2020-02-02,1100,,,,,0,Manoj,,350,875,875,AP,CREDIT,PP,DCA,1100FS,Packing,Kurnool,`10 Jan,,,,,
Bindhu Industries,AP5538109241,20-01-2020,3,265064,1,AP,2019-20,January,22-Jan-20,,,,,,,,0,2020-01-22,0,,11000,6260,0,0,Shiva,,550,1650,6390,AP,CASH,HDPE,DOPW,003DB52,Aqua,W Godavari,`10 Jan,,,,,
Global Polymers,TG5545099832,21-01-2020,22.975,2027466,2,TG,2019-20,January,5-Feb-20,,,,,,,,0,2020-02-05,1100,,,,,0,Shiva,,350,8041.25,8041,AP,CREDIT,HDPE,DCA,010DP45,Irrigation,Kadapa,`10 Jan,,,,,
Bindhu Industries,AP5538109969,22-01-2020,3,265064,1,AP,2019-20,January,24-Jan-20,,,,,,,,0,2020-01-24,0,,,,,0,Shiva,,550,1650,1650,AP,CASH,HDPE,DOPW,003DB52,Aqua,W Godavari,`10 Jan,,,,,
Bindhu Industries,AP5538110296,23-01-2020,8.75,838170,2,AP,2019-20,January,7-Feb-20,,,,,,,,0,2020-02-07,1100,,,,,0,Shiva,,550,4812.5,4813,AP,CREDIT,HDPE,DOPW,003DB52,Aqua,W Godavari,`10 Jan,,,,,
Bindhu Industries,AP5538110314,23-01-2020,1.25,123742,2,AP,2019-20,January,7-Feb-20,,,,,,,,0,2020-02-07,1100,,,,,0,Shiva,,550,687.5,688,AP,CREDIT,HDPE,DOPW,003DB52,Aqua,W Godavari,`10 Jan,,,,,
